job_id,workload_name,submission_time,requested_number_of_resources,requested_time,success,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,consumed_energy,allocated_resources
,req-6,0.0001,1,0.0001,1,0.0001,0.1,0.1001,0,0,0,-1,49
,req-8,0.0001,1,0.0001,1,0.0001,0.1,0.1001,0,0,0,-1,24
,req-8,0.0001,1,0.0001,1,0.0001,0.1,0.1001,0,0,0,-1,23
,req-8,0.0001,1,0.0001,1,0.0001,0.1,0.1001,0,0,0,-1,22
,req-6,0.0001,1,0.0001,1,0.0001,0.1,0.1001,0,0,0,-1,21
,req-9,0.0001,1,0.0001,1,0.0001,0.1,0.1001,0,0,0,-1,44
,req-9,0.0001,1,0.0001,1,0.0001,0.1,0.1001,0,0,0,-1,43
,req-9,0.0001,1,0.0001,1,0.0001,0.1,0.1001,0,0,0,-1,42
,req-9,0.0001,1,0.0001,1,0.0001,0.1,0.1001,0,0,0,-1,41
,req-16,0.0001,1,0.0001,1,0.0001,0.1,0.1001,0,0,0,-1,48
,req-15,0.0001,1,0.0001,1,0.0001,0.1,0.1001,0,0,0,-1,47
,req-13,0.0001,1,0.0001,1,0.0001,0.1,0.1001,0,0,0,-1,46
,req-12,0.0001,1,0.0001,1,0.0001,0.1,0.1001,0,0,0,-1,45
,req-15,0.0001,1,0.0001,1,0.0001,0.1,0.1001,0,0,0,-1,20
,req-15,0.0001,1,0.0001,1,0.0001,0.1,0.1001,0,0,0,-1,19
,req-13,0.0001,1,0.0001,1,0.0001,0.1,0.1001,0,0,0,-1,18
,req-13,0.0001,1,0.0001,1,0.0001,0.1,0.1001,0,0,0,-1,17
,req-21,0.0001,1,0.0001,1,0.0001,0.1,0.1001,0,0,0,-1,28
,req-21,0.0001,1,0.0001,1,0.0001,0.1,0.1001,0,0,0,-1,27
,req-21,0.0001,1,0.0001,1,0.0001,0.1,0.1001,0,0,0,-1,26
,req-16,0.0001,1,0.0001,1,0.0001,0.1,0.1001,0,0,0,-1,25
,req-74,0.0001,1,0.0001,1,0.0001,0.1,0.1001,0,0,0,-1,16
,req-69,0.0001,1,0.0001,1,0.0001,0.1,0.1001,0,0,0,-1,15
,req-28,0.0001,1,0.0001,1,0.0001,0.1,0.1001,0,0,0,-1,14
,req-28,0.0001,1,0.0001,1,0.0001,0.1,0.1001,0,0,0,-1,13
,req-2,0.0001,1,0.0001,1,0.0001,0.1,0.1001,0,0,0,-1,4
,req-1,0.0001,1,0.0001,1,0.0001,0.1,0.1001,0,0,0,-1,3
,req-1,0.0001,1,0.0001,1,0.0001,0.1,0.1001,0,0,0,-1,2
,req-1,0.0001,1,0.0001,1,0.0001,0.1,0.1001,0,0,0,-1,1
,req-2,0.1008,1,0.1008,1,0.1008,0.1,0.2008,0,0,0,-1,1
,req-2,0.1008,1,0.1008,1,0.1008,0.1,0.2008,0,0,0,-1,2
,req-2,0.1008,1,0.1008,1,0.1008,0.1,0.2008,0,0,0,-1,3
,req-2,0.1008,1,0.1008,1,0.1008,0.1,0.2008,0,0,0,-1,4
,req-3,0.1008,1,0.1008,1,0.1008,0.1,0.2008,0,0,0,-1,31
,req-3,0.1008,1,0.1008,1,0.1008,0.1,0.2008,0,0,0,-1,32
,req-4,0.101,1,0.101,1,0.101,0.1,0.201,0,0,0,-1,36
,req-4,0.1011,1,0.1011,1,0.1011,0.1,0.2011,0,0,0,-1,35
,req-11,0.1012,1,0.1012,1,0.1012,0.1,0.2012,0,0,0,-1,53
,req-6,0.1012,1,0.1012,1,0.1012,0.1,0.2012,0,0,0,-1,54
,req-6,0.1012,1,0.1012,1,0.1012,0.1,0.2012,0,0,0,-1,55
,req-6,0.1012,1,0.1012,1,0.1012,0.1,0.2012,0,0,0,-1,56
,req-12,0.1012,1,0.1012,1,0.1012,0.1,0.2012,0,0,0,-1,9
,req-12,0.1012,1,0.1012,1,0.1012,0.1,0.2012,0,0,0,-1,10
,req-10,0.1012,1,0.1012,1,0.1012,0.1,0.2012,0,0,0,-1,11
,req-8,0.1012,1,0.1012,1,0.1012,0.1,0.2012,0,0,0,-1,12
,req-9,0.1012,1,0.1012,1,0.1012,0.1,0.2012,0,0,0,-1,21
,req-9,0.1012,1,0.1012,1,0.1012,0.1,0.2012,0,0,0,-1,22
,req-8,0.1012,1,0.1012,1,0.1012,0.1,0.2012,0,0,0,-1,23
,req-8,0.1012,1,0.1012,1,0.1012,0.1,0.2012,0,0,0,-1,24
,req-10,0.1012,1,0.1012,1,0.1012,0.1,0.2012,0,0,0,-1,41
,req-10,0.1012,1,0.1012,1,0.1012,0.1,0.2012,0,0,0,-1,42
,req-10,0.1012,1,0.1012,1,0.1012,0.1,0.2012,0,0,0,-1,43
,req-9,0.1012,1,0.1012,1,0.1012,0.1,0.2012,0,0,0,-1,44
,req-12,0.1012,1,0.1012,1,0.1012,0.1,0.2012,0,0,0,-1,63
,req-11,0.1012,1,0.1012,1,0.1012,0.1,0.2012,0,0,0,-1,64
,req-11,0.1012,1,0.1012,1,0.1012,0.1,0.2012,0,0,0,-1,38
,req-11,0.1012,1,0.1012,1,0.1012,0.1,0.2012,0,0,0,-1,39
,req-6,0.1012,1,0.1012,1,0.1012,0.1,0.2012,0,0,0,-1,40
,req-11,0.1012,1,0.1012,1,0.1012,0.1,0.2012,0,0,0,-1,6
,req-8,0.1012,1,0.1012,1,0.1012,0.1,0.2012,0,0,0,-1,7
,req-6,0.1012,1,0.1012,1,0.1012,0.1,0.2012,0,0,0,-1,8
,req-12,0.1012,1,0.1012,1,0.1012,0.1,0.2012,0,0,0,-1,60
,req-5,0.1012,1,0.1012,1,0.1012,0.1,0.2012,0,0,0,-1,29
,req-5,0.1012,1,0.1012,1,0.1012,0.1,0.2012,0,0,0,-1,30
,req-65,0.1013,1,0.1013,1,0.1013,0.1,0.2013,0,0,0,-1,17
,req-64,0.1013,1,0.1013,1,0.1013,0.1,0.2013,0,0,0,-1,18
,req-60,0.1013,1,0.1013,1,0.1013,0.1,0.2013,0,0,0,-1,19
,req-16,0.1013,1,0.1013,1,0.1013,0.1,0.2013,0,0,0,-1,20
,req-22,0.1013,1,0.1013,1,0.1013,0.1,0.2013,0,0,0,-1,49
,req-17,0.1013,1,0.1013,1,0.1013,0.1,0.2013,0,0,0,-1,50
,req-17,0.1013,1,0.1013,1,0.1013,0.1,0.2013,0,0,0,-1,51
,req-17,0.1013,1,0.1013,1,0.1013,0.1,0.2013,0,0,0,-1,52
,req-84,0.1013,1,0.1013,1,0.1013,0.1,0.2013,0,0,0,-1,13
,req-74,0.1013,1,0.1013,1,0.1013,0.1,0.2013,0,0,0,-1,14
,req-74,0.1013,1,0.1013,1,0.1013,0.1,0.2013,0,0,0,-1,15
,req-28,0.1013,1,0.1013,1,0.1013,0.1,0.2013,0,0,0,-1,16
,req-24,0.1013,1,0.1013,1,0.1013,0.1,0.2013,0,0,0,-1,25
,req-24,0.1013,1,0.1013,1,0.1013,0.1,0.2013,0,0,0,-1,26
,req-21,0.1013,1,0.1013,1,0.1013,0.1,0.2013,0,0,0,-1,27
,req-21,0.1013,1,0.1013,1,0.1013,0.1,0.2013,0,0,0,-1,28
,req-14,0.1013,1,0.1013,1,0.1013,0.1,0.2013,0,0,0,-1,61
,req-13,0.1013,1,0.1013,1,0.1013,0.1,0.2013,0,0,0,-1,62
,req-14,0.1013,1,0.1013,1,0.1013,0.1,0.2013,0,0,0,-1,37
,req-14,0.1013,1,0.1013,1,0.1013,0.1,0.2013,0,0,0,-1,5
,req-13,0.1013,1,0.1013,1,0.1013,0.1,0.2013,0,0,0,-1,57
,req-13,0.1013,1,0.1013,1,0.1013,0.1,0.2013,0,0,0,-1,58
,req-13,0.1013,1,0.1013,1,0.1013,0.1,0.2013,0,0,0,-1,59
,req-24,0.1013,1,0.1013,1,0.1013,0.1,0.2013,0,0,0,-1,45
,req-21,0.1013,1,0.1013,1,0.1013,0.1,0.2013,0,0,0,-1,46
,req-21,0.1013,1,0.1013,1,0.1013,0.1,0.2013,0,0,0,-1,47
,req-21,0.1013,1,0.1013,1,0.1013,0.1,0.2013,0,0,0,-1,48
,req-27,0.1013,1,0.1013,1,0.1013,0.1,0.2013,0,0,0,-1,65
,req-27,0.1013,1,0.1013,1,0.1013,0.1,0.2013,0,0,0,-1,66
,req-22,0.1013,1,0.1013,1,0.1013,0.1,0.2013,0,0,0,-1,67
,req-22,0.1013,1,0.1013,1,0.1013,0.1,0.2013,0,0,0,-1,68
,req-14,0.1013,1,0.1013,1,0.1013,0.1,0.2013,0,0,0,-1,33
,req-14,0.1013,1,0.1013,1,0.1013,0.1,0.2013,0,0,0,-1,34
,req-1,0.2009,1,0.2009,1,0.2009,0.1,0.3009,0,0,0,-1,1
,req-5,0.2011,1,0.2011,1,0.2011,0.1,0.3011,0,0,0,-1,32
,req-3,0.2011,1,0.2011,1,0.2011,0.1,0.3011,0,0,0,-1,31
,req-16,0.2011,1,0.2011,1,0.2011,0.1,0.3011,0,0,0,-1,36
,req-8,0.2011,1,0.2011,1,0.2011,0.1,0.3011,0,0,0,-1,4
,req-8,0.2011,1,0.2011,1,0.2011,0.1,0.3011,0,0,0,-1,3
,req-2,0.2011,1,0.2011,1,0.2011,0.1,0.3011,0,0,0,-1,2
,req-1,0.2013,1,0.2013,1,0.2013,0.1,0.3013,0,0,0,-1,38
,req-1,0.2013,1,0.2013,1,0.2013,0.1,0.3013,0,0,0,-1,60
,req-0,0.2013,1,0.2013,1,0.2013,0.1,0.3013,0,0,0,-1,64
,req-0,0.2013,1,0.2013,1,0.2013,0.1,0.3013,0,0,0,-1,63
,req-1,0.2013,1,0.2013,1,0.2013,0.1,0.3013,0,0,0,-1,7
,req-0,0.2013,1,0.2013,1,0.2013,0.1,0.3013,0,0,0,-1,6
,req-5,0.2015,1,0.2015,1,0.2015,0.1,0.3015,0,0,0,-1,29
,req-4,0.2015,1,0.2015,1,0.2015,0.1,0.3015,0,0,0,-1,40
,req-4,0.2015,1,0.2015,1,0.2015,0.1,0.3015,0,0,0,-1,39
,req-4,0.2015,1,0.2015,1,0.2015,0.1,0.3015,0,0,0,-1,8
,req-5,0.2016,1,0.2016,1,0.2016,0.1,0.3016,0,0,0,-1,30
,req-9,0.2018,1,0.2018,1,0.2018,0.1,0.3018,0,0,0,-1,23
,req-9,0.2018,1,0.2018,1,0.2018,0.1,0.3018,0,0,0,-1,22
,req-8,0.2018,1,0.2018,1,0.2018,0.1,0.3018,0,0,0,-1,21
,req-9,0.2019,1,0.2019,1,0.2019,0.1,0.3019,0,0,0,-1,24
,req-10,0.202,1,0.202,1,0.202,0.1,0.302,0,0,0,-1,42
,req-10,0.202,1,0.202,1,0.202,0.1,0.302,0,0,0,-1,41
,req-11,0.2021,1,0.2021,1,0.2021,0.1,0.3021,0,0,0,-1,55
,req-11,0.2021,1,0.2021,1,0.2021,0.1,0.3021,0,0,0,-1,54
,req-11,0.2021,1,0.2021,1,0.2021,0.1,0.3021,0,0,0,-1,53
,req-12,0.2024,1,0.2024,1,0.2024,0.1,0.3024,0,0,0,-1,9
,req-12,0.2024,1,0.2024,1,0.2024,0.1,0.3024,0,0,0,-1,61
,req-13,0.2029,1,0.2029,1,0.2029,0.1,0.3029,0,0,0,-1,57
,req-14,0.2031,1,0.2031,1,0.2031,0.1,0.3031,0,0,0,-1,37
,req-14,0.2031,1,0.2031,1,0.2031,0.1,0.3031,0,0,0,-1,56
,req-15,0.2031,1,0.2031,1,0.2031,0.1,0.3031,0,0,0,-1,62
,req-15,0.2031,1,0.2031,1,0.2031,0.1,0.3031,0,0,0,-1,59
,req-15,0.2031,1,0.2031,1,0.2031,0.1,0.3031,0,0,0,-1,58
,req-17,0.2032,1,0.2032,1,0.2032,0.1,0.3032,0,0,0,-1,5
,req-18,0.2032,1,0.2032,1,0.2032,0.1,0.3032,0,0,0,-1,44
,req-18,0.2032,1,0.2032,1,0.2032,0.1,0.3032,0,0,0,-1,43
,req-17,0.2032,1,0.2032,1,0.2032,0.1,0.3032,0,0,0,-1,11
,req-17,0.2032,1,0.2032,1,0.2032,0.1,0.3032,0,0,0,-1,10
,req-24,0.2034,1,0.2034,1,0.2034,0.1,0.3034,0,0,0,-1,45
,req-24,0.2034,1,0.2034,1,0.2034,0.1,0.3034,0,0,0,-1,26
,req-24,0.2034,1,0.2034,1,0.2034,0.1,0.3034,0,0,0,-1,25
,req-24,0.2034,1,0.2034,1,0.2034,0.1,0.3034,0,0,0,-1,34
,req-24,0.2034,1,0.2034,1,0.2034,0.1,0.3034,0,0,0,-1,33
,req-24,0.2034,1,0.2034,1,0.2034,0.1,0.3034,0,0,0,-1,35
,req-23,0.2034,1,0.2034,1,0.2034,0.1,0.3034,0,0,0,-1,12
,req-26,0.2035,1,0.2035,1,0.2035,0.1,0.3035,0,0,0,-1,52
,req-26,0.2035,1,0.2035,1,0.2035,0.1,0.3035,0,0,0,-1,51
,req-26,0.2035,1,0.2035,1,0.2035,0.1,0.3035,0,0,0,-1,50
,req-25,0.2035,1,0.2035,1,0.2035,0.1,0.3035,0,0,0,-1,49
,req-30,0.2035,1,0.2035,1,0.2035,0.1,0.3035,0,0,0,-1,68
,req-28,0.2035,1,0.2035,1,0.2035,0.1,0.3035,0,0,0,-1,67
,req-28,0.2035,1,0.2035,1,0.2035,0.1,0.3035,0,0,0,-1,66
,req-28,0.2035,1,0.2035,1,0.2035,0.1,0.3035,0,0,0,-1,65
,req-70,0.2035,1,0.2035,1,0.2035,0.1,0.3035,0,0,0,-1,20
,req-65,0.2035,1,0.2035,1,0.2035,0.1,0.3035,0,0,0,-1,19
,req-65,0.2035,1,0.2035,1,0.2035,0.1,0.3035,0,0,0,-1,18
,req-65,0.2035,1,0.2035,1,0.2035,0.1,0.3035,0,0,0,-1,17
,req-89,0.2035,1,0.2035,1,0.2035,0.1,0.3035,0,0,0,-1,16
,req-89,0.2035,1,0.2035,1,0.2035,0.1,0.3035,0,0,0,-1,15
,req-89,0.2035,1,0.2035,1,0.2035,0.1,0.3035,0,0,0,-1,14
,req-74,0.2035,1,0.2035,1,0.2035,0.1,0.3035,0,0,0,-1,13
,req-31,0.2035,1,0.2035,1,0.2035,0.1,0.3035,0,0,0,-1,48
,req-31,0.2035,1,0.2035,1,0.2035,0.1,0.3035,0,0,0,-1,47
,req-25,0.2035,1,0.2035,1,0.2035,0.1,0.3035,0,0,0,-1,46
,req-25,0.2035,1,0.2035,1,0.2035,0.1,0.3035,0,0,0,-1,28
,req-25,0.2035,1,0.2035,1,0.2035,0.1,0.3035,0,0,0,-1,27
,req-2,0.301,1,0.301,1,0.301,0.1,0.401,0,0,0,-1,1
,req-5,0.3012,1,0.3012,1,0.3012,0.1,0.4012,0,0,0,-1,31
,req-3,0.3012,1,0.3012,1,0.3012,0.1,0.4012,0,0,0,-1,32
,req-2,0.3012,1,0.3012,1,0.3012,0.1,0.4012,0,0,0,-1,4
,req-11,0.3013,1,0.3013,1,0.3013,0.1,0.4013,0,0,0,-1,38
,req-19,0.3013,1,0.3013,1,0.3013,0.1,0.4013,0,0,0,-1,6
,req-11,0.3013,1,0.3013,1,0.3013,0.1,0.4013,0,0,0,-1,7
,req-16,0.3013,1,0.3013,1,0.3013,0.1,0.4013,0,0,0,-1,36
,req-17,0.3013,1,0.3013,1,0.3013,0.1,0.4013,0,0,0,-1,63
,req-17,0.3013,1,0.3013,1,0.3013,0.1,0.4013,0,0,0,-1,64
,req-12,0.3013,1,0.3013,1,0.3013,0.1,0.4013,0,0,0,-1,60
,req-18,0.3013,1,0.3013,1,0.3013,0.1,0.4013,0,0,0,-1,2
,req-9,0.3013,1,0.3013,1,0.3013,0.1,0.4013,0,0,0,-1,3
,req-6,0.3018,1,0.3018,1,0.3018,0.1,0.4018,0,0,0,-1,8
,req-6,0.3018,1,0.3018,1,0.3018,0.1,0.4018,0,0,0,-1,30
,req-5,0.3018,1,0.3018,1,0.3018,0.1,0.4018,0,0,0,-1,29
,req-9,0.3019,1,0.3019,1,0.3019,0.1,0.4019,0,0,0,-1,22
,req-9,0.3019,1,0.3019,1,0.3019,0.1,0.4019,0,0,0,-1,23
,req-18,0.302,1,0.302,1,0.302,0.1,0.402,0,0,0,-1,41
,req-10,0.302,1,0.302,1,0.302,0.1,0.402,0,0,0,-1,42
,req-14,0.302,1,0.302,1,0.302,0.1,0.402,0,0,0,-1,39
,req-14,0.302,1,0.302,1,0.302,0.1,0.402,0,0,0,-1,40
,req-10,0.302,1,0.302,1,0.302,0.1,0.402,0,0,0,-1,24
,req-10,0.302,1,0.302,1,0.302,0.1,0.402,0,0,0,-1,21
,req-14,0.3023,1,0.3023,1,0.3023,0.1,0.4023,0,0,0,-1,53
,req-11,0.3023,1,0.3023,1,0.3023,0.1,0.4023,0,0,0,-1,54
,req-6,0.3023,1,0.3023,1,0.3023,0.1,0.4023,0,0,0,-1,55
,req-0,0.3025,1,0.3025,1,0.3025,0.1,0.4025,0,0,0,-1,61
,req-9,0.3025,1,0.3025,1,0.3025,0.1,0.4025,0,0,0,-1,9
,req-2,0.303,1,0.303,1,0.303,0.1,0.403,0,0,0,-1,57
,req-2,0.3036,1,0.3036,1,0.3036,0.1,0.4036,0,0,0,-1,68
,req-12,0.3038,1,0.3038,1,0.3038,0.1,0.4038,0,0,0,-1,52
,req-13,0.3038,1,0.3038,1,0.3038,0.1,0.4038,0,0,0,-1,45
,req-13,0.3038,1,0.3038,1,0.3038,0.1,0.4038,0,0,0,-1,19
,req-13,0.3038,1,0.3038,1,0.3038,0.1,0.4038,0,0,0,-1,20
,req-12,0.3038,1,0.3038,1,0.3038,0.1,0.4038,0,0,0,-1,10
,req-12,0.3038,1,0.3038,1,0.3038,0.1,0.4038,0,0,0,-1,11
,req-13,0.3038,1,0.3038,1,0.3038,0.1,0.4038,0,0,0,-1,58
,req-13,0.3038,1,0.3038,1,0.3038,0.1,0.4038,0,0,0,-1,59
,req-16,0.3042,1,0.3042,1,0.3042,0.1,0.4042,0,0,0,-1,33
,req-16,0.3042,1,0.3042,1,0.3042,0.1,0.4042,0,0,0,-1,34
,req-18,0.3045,1,0.3045,1,0.3045,0.1,0.4045,0,0,0,-1,43
,req-18,0.3045,1,0.3045,1,0.3045,0.1,0.4045,0,0,0,-1,44
,req-19,0.3045,1,0.3045,1,0.3045,0.1,0.4045,0,0,0,-1,5
,req-19,0.3045,1,0.3045,1,0.3045,0.1,0.4045,0,0,0,-1,56
,req-21,0.3045,1,0.3045,1,0.3045,0.1,0.4045,0,0,0,-1,35
,req-21,0.3045,1,0.3045,1,0.3045,0.1,0.4045,0,0,0,-1,48
,req-19,0.3045,1,0.3045,1,0.3045,0.1,0.4045,0,0,0,-1,37
,req-24,0.3046,1,0.3046,1,0.3046,0.1,0.4046,0,0,0,-1,26
,req-26,0.3047,1,0.3047,1,0.3047,0.1,0.4047,0,0,0,-1,12
,req-25,0.3047,1,0.3047,1,0.3047,0.1,0.4047,0,0,0,-1,28
,req-25,0.3047,1,0.3047,1,0.3047,0.1,0.4047,0,0,0,-1,25
,req-25,0.3047,1,0.3047,1,0.3047,0.1,0.4047,0,0,0,-1,62
,req-89,0.3049,1,0.3049,1,0.3049,0.1,0.4049,0,0,0,-1,16
,req-47,0.3049,1,0.3049,1,0.3049,0.1,0.4049,0,0,0,-1,49
,req-40,0.3049,1,0.3049,1,0.3049,0.1,0.4049,0,0,0,-1,50
,req-35,0.3049,1,0.3049,1,0.3049,0.1,0.4049,0,0,0,-1,51
,req-34,0.3049,1,0.3049,1,0.3049,0.1,0.4049,0,0,0,-1,46
,req-34,0.3049,1,0.3049,1,0.3049,0.1,0.4049,0,0,0,-1,47
,req-65,0.3049,1,0.3049,1,0.3049,0.1,0.4049,0,0,0,-1,17
,req-65,0.3049,1,0.3049,1,0.3049,0.1,0.4049,0,0,0,-1,18
,req-31,0.3049,1,0.3049,1,0.3049,0.1,0.4049,0,0,0,-1,27
,req-30,0.3049,1,0.3049,1,0.3049,0.1,0.4049,0,0,0,-1,65
,req-28,0.3049,1,0.3049,1,0.3049,0.1,0.4049,0,0,0,-1,66
,req-28,0.3049,1,0.3049,1,0.3049,0.1,0.4049,0,0,0,-1,67
,req-28,0.3248,1,0.3248,1,0.3248,0.1,0.4248,0,0,0,-1,15
,req-8,0.4012,1,0.4012,1,0.4012,0.1,0.5012,0,0,0,-1,1
,req-6,0.4013,1,0.4013,1,0.4013,0.1,0.5013,0,0,0,-1,32
,req-3,0.4013,1,0.4013,1,0.4013,0.1,0.5013,0,0,0,-1,31
,req-26,0.4013,1,0.4013,1,0.4013,0.1,0.5013,0,0,0,-1,64
,req-17,0.4013,1,0.4013,1,0.4013,0.1,0.5013,0,0,0,-1,63
,req-8,0.4013,1,0.4013,1,0.4013,0.1,0.5013,0,0,0,-1,7
,req-4,0.4013,1,0.4013,1,0.4013,0.1,0.5013,0,0,0,-1,6
,req-15,0.4013,1,0.4013,1,0.4013,0.1,0.5013,0,0,0,-1,60
,req-14,0.4013,1,0.4013,1,0.4013,0.1,0.5013,0,0,0,-1,38
,req-4,0.4013,1,0.4013,1,0.4013,0.1,0.5013,0,0,0,-1,36
,req-22,0.4013,1,0.4013,1,0.4013,0.1,0.5013,0,0,0,-1,3
,req-22,0.4013,1,0.4013,1,0.4013,0.1,0.5013,0,0,0,-1,2
,req-22,0.4013,1,0.4013,1,0.4013,0.1,0.5013,0,0,0,-1,4
,req-9,0.4019,1,0.4019,1,0.4019,0.1,0.5019,0,0,0,-1,23
,req-8,0.4019,1,0.4019,1,0.4019,0.1,0.5019,0,0,0,-1,22
,req-7,0.4019,1,0.4019,1,0.4019,0.1,0.5019,0,0,0,-1,29
,req-5,0.4019,1,0.4019,1,0.4019,0.1,0.5019,0,0,0,-1,30
,req-11,0.4019,1,0.4019,1,0.4019,0.1,0.5019,0,0,0,-1,8
,req-1,0.4021,1,0.4021,1,0.4021,0.1,0.5021,0,0,0,-1,39
,req-9,0.4022,1,0.4022,1,0.4022,0.1,0.5022,0,0,0,-1,41
,req-10,0.4022,1,0.4022,1,0.4022,0.1,0.5022,0,0,0,-1,21
,req-10,0.4022,1,0.4022,1,0.4022,0.1,0.5022,0,0,0,-1,24
,req-10,0.4023,1,0.4023,1,0.4023,0.1,0.5023,0,0,0,-1,42
,req-4,0.4024,1,0.4024,1,0.4024,0.1,0.5024,0,0,0,-1,53
,req-0,0.4026,1,0.4026,1,0.4026,0.1,0.5026,0,0,0,-1,61
,req-17,0.4027,1,0.4027,1,0.4027,0.1,0.5027,0,0,0,-1,9
,req-19,0.4027,1,0.4027,1,0.4027,0.1,0.5027,0,0,0,-1,55
,req-19,0.4027,1,0.4027,1,0.4027,0.1,0.5027,0,0,0,-1,54
,req-22,0.4027,1,0.4027,1,0.4027,0.1,0.5027,0,0,0,-1,40
,req-21,0.4032,1,0.4032,1,0.4032,0.1,0.5032,0,0,0,-1,57
,req-28,0.4037,1,0.4037,1,0.4037,0.1,0.5037,0,0,0,-1,68
,req-12,0.4041,1,0.4041,1,0.4041,0.1,0.5041,0,0,0,-1,52
,req-15,0.4045,1,0.4045,1,0.4045,0.1,0.5045,0,0,0,-1,45
,req-15,0.4045,1,0.4045,1,0.4045,0.1,0.5045,0,0,0,-1,20
,req-15,0.4045,1,0.4045,1,0.4045,0.1,0.5045,0,0,0,-1,19
,req-17,0.4049,1,0.4049,1,0.4049,0.1,0.5049,0,0,0,-1,10
,req-17,0.4051,1,0.4051,1,0.4051,0.1,0.5051,0,0,0,-1,62
,req-19,0.4052,1,0.4052,1,0.4052,0.1,0.5052,0,0,0,-1,56
,req-20,0.4053,1,0.4053,1,0.4053,0.1,0.5053,0,0,0,-1,44
,req-20,0.4053,1,0.4053,1,0.4053,0.1,0.5053,0,0,0,-1,43
,req-24,0.4054,1,0.4054,1,0.4054,0.1,0.5054,0,0,0,-1,26
,req-22,0.4054,1,0.4054,1,0.4054,0.1,0.5054,0,0,0,-1,5
,req-22,0.4054,1,0.4054,1,0.4054,0.1,0.5054,0,0,0,-1,37
,req-25,0.4054,1,0.4054,1,0.4054,0.1,0.5054,0,0,0,-1,59
,req-22,0.4054,1,0.4054,1,0.4054,0.1,0.5054,0,0,0,-1,58
