id;start_time;finish_time;duration;total_time_execs;total_time_comms;amount_comms
req-57;0.9073;3.4061;2.4988;2.0;1.1005;14.0
req-59;1.0075;3.6062;2.5987;2.2;0.7304;17.0
req-73;1.004;3.7245;2.7205;1.1;0.1701;5.0
req-71;1.1057;3.8063;2.7006;2.2;0.7304;17.0
req-79;1.3087;3.9063;2.5976;1.3;0.6303;7.0
req-75;1.1024;4.0042;2.9018;1.6;0.3702;10.0
req-78;1.1024;4.2044;3.102;1.7;0.6303;12.0
req-83;1.5056;4.6076;3.102;2.2;0.7304;17.0
req-85;3.5067;4.8053;1.2986;1.4;0.4502;13.0
req-86;1.3028;4.9054;3.6026;2.1;0.4802;15.0
req-87;1.3028;5.1065;3.8037;2.1;0.4802;15.0
req-96;1.5097;5.1782;3.6685;1.3;0.6303;7.0
req-92;1.3051;5.3159;4.0108;1.6;0.3702;10.0
req-93;1.5059;5.4779;3.972;2.0;1.1005;14.0
